"41497",AAC DALBY CAMPUS|-27.1494|151.2894|Aug|1985|Sep|2012
"200290",ABALETI|-11.4167|154.2|Feb|1958|Jul|1965
"200000",ABAU ISLAND|-10.1667|148.7167|Jul|1913|Nov|1961
"67114",ABBOTSBURY (FAIRFIELD (CITY FARM))|-33.8667|150.8611|Dec|2000|Mar|2017
"40000",ABBOTSFORD|-27.95|153.1|Oct|1909|Jul|1974
"66034",ABBOTSFORD (BLACKWALL POINT RD)|-33.8507|151.1295|Jan|2004|Mar|2017
"55230",ABBOTSLEA|-31.0667|150.05|Jun|1889|Oct|1926
"7118",ABBOTTS|-26.4|118.4|Sep|1898|Dec|1913
"94263",ABELS BAY (SANDREEF ROAD)|-43.2256|147.1019|Jul|2013|Mar|2017
"39000",ABERCORN|-25.1333|151.1292|Apr|1950|Mar|2017
"39319",ABERCORN TM|-25.1292|151.1306|Nov|2000|Mar|2017
"63000",ABERCROMBIE (ABERCROMBIE BRIDGE)|-33.9541|149.3252|Jul|1931|Sep|2007
"63296",ABERCROMBIE (ABERCROMBIE RIVER)|-33.9547|149.3241|Dec|2000|Dec|2014
"63257",ABERCROMBIE (THE JUNCTION)|-33.9609|149.3184|Nov|2007|Aug|2016
"63199",ABERCROMBIE CAVES|-33.9833|149.4167|Jan|1900|Mar|1927
"41394",ABERDEEN|-28.0636|150.6236|Jan|1973|Dec|2000
"61000",ABERDEEN (MAIN RD)|-32.1655|150.8911|Jun|1894|May|2013
"91313",ABERDEEN (MELROSE ROAD)|-41.2478|146.3339|Jun|2000|Mar|2017
"61065",ABERDEEN (ROSSGOLE)|-32.1402|150.7285|Jan|1926|Mar|2017
"85000",ABERFELDY|-37.7|146.3667|Apr|1891|Dec|1983
"85278",ABERFELDY (LILY CREEK  (LAROMMI))|-37.7196|146.3888|Jan|1983|Jul|2015
"57000",ABERFOYLE|-30.2667|152.0167|Sep|1885|Dec|1970
"36085",ABERFOYLE|-21.6678|145.2689|Jan|1892|Mar|2009
"57101",ABERFOYLE (BAMBI)|-30.2667|152.0333|Jan|1971|May|1973
"32174",ABERGOWRIE ALERT|-18.4889|145.9364|Nov|2000|Mar|2017
"32086",ABERGOWRIE BRIDGE|-18.5225|146.0019|Jan|1960|Oct|2003
"32052",ABERGOWRIE POST OFFICE|-18.4833|145.8833|May|1954|Mar|1975
"10258",ABERVON|-30.7833|117.9833|May|1968|Aug|1973
"200454",ABIERA|-6.3667|145.8333|Mar|1961|Dec|1973
"30000",ABINGDON DOWNS STATION|-17.6083|143.1792|Jan|1945|Mar|2017
"56183",ABINGTON (GLANMIRE)|-30.3167|151.2|Jan|1960|Oct|1974
"17000",ABMINGA RAILWAY SIDING|-26.1317|134.8517|Jan|1939|Oct|1980
"35198",ABOR DOWNS|-22.75|148|Jan|1914|Sep|1959
"4000",ABYDOS|-21.4167|118.9333|Jul|1917|Dec|1974
"4045",ABYDOS WOODSTOCK|-21.62|118.955|Jan|1901|Sep|1997
"14295",ACACIA (MOCATTO ROAD)|-12.7592|131.1507|Jan|1994|Mar|2017
"36060",ACACIA DOWNS|-22.8333|144.7333|Oct|1908|Dec|1937
"14244",ACACIA HILLS|-12.7641|131.1598|Dec|1989|Sep|2013
"57031",ACACIA PLATEAU (BELMONT)|-28.35|152.4333|Jun|1954|Apr|1970
"40527",ACACIA RIDGE BCC|-27.6167|153.0433|Nov|1974|Sep|1991
"40001",ACACIA VALE|-26.0167|152.4167|Nov|1915|Feb|1954
"33092",ACACIA VALE GARDENS|-21.3|149.2|Dec|1898|Jan|1919
"88119",ACHERON RIVER @ TAGGERTY|-37.3167|145.7167|Mar|1974|Mar|2017
"40499",ACHIL BOONDOOMA|-26.2239|151.2986|Jan|1975|Apr|2002
"41000",ACLAND POST OFFICE|-27.3033|151.69|Sep|1912|Sep|1992
"30100",ACTION DOWNS STATION|-20.5167|143.2833|Jan|1923|Dec|1975
"9971",ACTON PARK|-33.7845|115.4072|Nov|2000|Mar|2017
"2046",ADA VALE|-16.95|128.1|Jan|1920|Mar|1925
"71040",ADAMINABY (YAOUK)|-35.7858|148.8106|Dec|1969|Mar|2017
"71000",ADAMINABY ALPINE TOURIST PARK|-35.9962|148.7693|Nov|1886|Mar|2017
"31162",ADAMS|-17.5833|145.6|Jul|1953|Oct|1977
